Date,Market Cap,Volume,Open,Close
2022-11-11,"
$336,597,208,100
","
$65,200,666,543
","
$17,594.92
","
N/A
"
2022-11-10,"
$301,963,847,694
","
$74,978,675,391
","
$15,742.44
","
$17,594.92
"
2022-11-09,"
$356,871,594,632
","
$92,144,963,385
","
$18,562.35
","
$15,742.44
"
2022-11-08,"
$395,168,506,455
","
$402,755,503,376
","
$20,598
","
$18,562.35
"
2022-11-07,"
$401,869,336,200
","
$303,484,290,671
","
$20,907
","
$20,598
"
2022-11-06,"
$408,892,506,459
","
$326,784,097,745
","
$21,283
","
$20,907
"
2022-11-05,"
$405,987,599,945
","
$429,308,200,555
","
$21,150
","
$21,283
"
2022-11-04,"
$387,756,249,892
","
$36,562,782,564
","
$20,211
","
$21,150
"
2022-11-03,"
$387,015,867,490
","
$44,539,856,162
","
$20,163
","
$20,211
"
2022-11-02,"
$393,218,202,888
","
$32,262,771,911
","
$20,490
","
$20,163
"
2022-11-01,"
$393,311,097,044
","
$37,290,619,695
","
$20,495
","
$20,490
"
2022-10-31,"
$395,548,335,410
","
$24,707,906,149
","
$20,624
","
$20,495
"
2022-10-30,"
$399,135,164,712
","
$32,806,216,911
","
$20,801
","
$20,624
"
2022-10-29,"
$395,201,306,735
","
$36,165,609,165
","
$20,591
","
$20,801
"
2022-10-28,"
$389,238,872,376
","
$41,829,789,298
","
$20,278
","
$20,591
"
2022-10-27,"
$398,674,628,647
","
$50,667,020,408
","
$20,774
","
$20,278
"
2022-10-26,"
$385,476,931,984
","
$39,846,253,139
","
$20,095
","
$20,774
"
2022-10-25,"
$370,622,833,881
","
$28,657,172,009
","
$19,316.94
","
$20,095
"
2022-10-24,"
$375,197,423,662
","
$19,928,822,961
","
$19,574.82
","
$19,316.94
"
2022-10-23,"
$368,484,939,424
","
$13,362,526,958
","
$19,203.87
","
$19,574.82
"
2022-10-22,"
$367,999,082,249
","
$30,297,335,038
","
$19,173.28
","
$19,203.87
"
2022-10-21,"
$365,098,952,755
","
$25,712,511,232
","
$19,031.16
","
$19,173.28
"
2022-10-20,"
$367,085,331,988
","
$23,047,051,893
","
$19,134.24
","
$19,031.16
"
2022-10-19,"
$371,196,833,239
","
$25,848,175,159
","
$19,348.03
","
$19,134.24
"
